Month of Selection,Year of Selection,Book Title,Author Name,Publication date,Genre,Adaptation?,Goodreads Summary,# of pages,,
May,2022,Dictionary of Lost Words,Pip Williams,2020,Historical Fiction,No,"In 1901, the word ‘Bondmaid’ was discovered missing from the Oxford English Dictionary. This is the story of the girl who stole it.

Esme is born into a world of words. Motherless and irrepressibly curious, she spends her childhood in the ‘Scriptorium’, a garden shed in Oxford where her father and a team of dedicated lexicographers are collecting words for the very first Oxford English Dictionary. Esme’s place is beneath the sorting table, unseen and unheard. One day a slip of paper containing the word ‘bondmaid’ flutters to the floor. Esme rescues the slip and stashes it in an old wooden case that belongs to her friend, Lizzie, a young servant in the big house. Esme begins to collect other words from the Scriptorium that are misplaced, discarded or have been neglected by the dictionary men. They help her make sense of the world.

Over time, Esme realises that some words are considered more important than others, and that words and meanings relating to women’s experiences often go unrecorded. While she dedicates her life to the Oxford English Dictionary, secretly, she begins to collect words for another dictionary: The Dictionary of Lost Words.

Set when the women’s suffrage movement was at its height and the Great War loomed, The Dictionary of Lost Words reveals a lost narrative, hidden between the lines of a history written by men. It’s a delightful, lyrical and deeply thought-provoking celebration of words, and the power of language to shape the world and our experience of it.",384,,
June,2022,Counterfeit,Kirstin Chen,2022,Thriller,No,"The Reese's Book Club hardcover edition can be found here.

For fans of Hustlers and How to Get Filthy Rich in Rising Asia, the story of two Asian American women who band together to grow a counterfeit handbag scheme into a global enterprise--an incisive and glittering blend of fashion, crime, and friendship from the author of Bury What We Cannot Take and Soy Sauce for Beginners.

Money can't buy happiness... but it can buy a decent fake.

Ava Wong has always played it safe. As a strait-laced, rule-abiding Chinese American lawyer with a successful surgeon as a husband, a young son, and a beautiful home--she's built the perfect life. But beneath this façade, Ava's world is crumbling: her marriage is falling apart, her expensive law degree hasn't been used in years, and her toddler's tantrums are pushing her to the breaking point.

Enter Winnie Fang, Ava's enigmatic college roommate from Mainland China, who abruptly dropped out under mysterious circumstances. Now, twenty years later, Winnie is looking to reconnect with her old friend. But the shy, awkward girl Ava once knew has been replaced with a confident woman of the world, dripping in luxury goods, including a coveted Birkin in classic orange. The secret to her success? Winnie has developed an ingenious counterfeit scheme that involves importing near-exact replicas of luxury handbags and now she needs someone with a U.S. passport to help manage her business--someone who'd never be suspected of wrongdoing, someone like Ava. But when their spectacular success is threatened and Winnie vanishes once again, Ava is left to face the consequences.

Swift, surprising, and sharply comic, Counterfeit is a stylish and feminist caper with a strong point of view and an axe to grind. Peering behind the curtain of the upscale designer storefronts and the Chinese factories where luxury goods are produced, Kirstin Chen interrogates the myth of the model minority through two unforgettable women determined to demand more from life.",288,,
July,2022,Honey & Spice,Bolu Babalola,2022,Romance,No,"ntroducing internationally bestselling author Bolu Babalola's dazzling debut novel, full of passion, humor, and heart, that centers on a young Black British woman who has no interest in love and unexpectedly finds herself caught up in a fake relationship with the man she warned her girls about

Sweet like plantain, hot like pepper. They taste the best when together...

Sharp-tongued (and secretly soft-hearted) Kiki Banjo has just made a huge mistake. As an expert in relationship-evasion and the host of the popular student radio show Brown Sugar, she's made it her mission to make sure the women of the African-Caribbean Society at Whitewell University do not fall into the mess of ""situationships"", players, and heartbreak. But when the Queen of the Unbothered kisses Malakai Korede, the guy she just publicly denounced as ""The Wastemen of Whitewell,"" in front of every Blackwellian on campus, she finds her show on the brink.

They're soon embroiled in a fake relationship to try and salvage their reputations and save their futures. Kiki has never surrendered her heart before, and a player like Malakai won't be the one to change that, no matter how charming he is or how electric their connection feels. But surprisingly entertaining study sessions and intimate, late-night talks at old-fashioned diners force Kiki to look beyond her own presumptions. Is she ready to open herself up to something deeper?

A gloriously funny and sparkling debut novel, Honey and Spice is full of delicious tension and romantic intrigue that will make you weak at the knees.",368,,
August,2022,"Wrong Place, Wrong Time",Gillian McAllister,2022,Thriller,No,"Can you stop a murder after it’s already happened?

It is midnight on the morning of Halloween, and Jen anxiously waits up for her 18-year-old son, Todd, to return home. But worries about his broken curfew transform into something much more dangerous when Todd finally emerges from the darkness. As Jen watches through the window, she sees her funny, seemingly happy teenage son stab a total stranger.

She doesn’t know who the victim is, or why Todd has committed such a devastating act of violence. All she knows is that her life, and Todd’s, have been shattered. 

After her son is taken into custody, Jen falls asleep in despair. But when she wakes up… it is yesterday. The murder has not happened yet—and there may be a chance to stop it. Each morning, when Jen wakes, she is further back in the past, first weeks, then years, before the murder. And Jen realizes that somewhere in the past lies the trigger for Todd’s terrible crime…and it is her mission to find it, and prevent it from taking place.",416,,
September,2022,On The Rooftop,Margaret Wilkerson Sexton,2022,Historical Fiction,No,"A stunning novel about a mother whose dream of musical stardom for her three daughters collides with the daughters’ ambitions for their own lives—set against the backdrop of gentrifying 1950s San Francisco 

At home they are just sisters, but on stage, they are The Salvations. Ruth, Esther, and Chloe have been singing and dancing in harmony since they could speak. Thanks to the rigorous direction of their mother, Vivian, they’ve become a bona fide girl group whose shows are the talk of the Jazz-era Fillmore. 

Now Vivian has scored a once-in-a-lifetime offer from a talent manager, who promises to catapult The Salvations into the national spotlight. Vivian knows this is the big break she’s been praying for. But sometime between the hours of rehearsal on their rooftop and the weekly gigs at the Champagne Supper Club, the girls have become women, women with dreams that their mother cannot imagine. 

The neighborhood is changing, too: all around the Fillmore, white men in suits are approaching Black property owners with offers. One sister finds herself called to fight back, one falls into the comfort of an old relationship, another yearns to make her own voice heard. And Vivian, who has always maintained control, will have to confront the parts of her life that threaten to splinter: the community, The Salvations, and even her family.",304,,
October,2022,Our Missing Hearts,Celeste Ng,2022,Dystopia,No,"A novel about a mother’s unbreakable love in a world consumed by fear.

Twelve-year-old Bird Gardner lives a quiet existence with his loving but broken father, a former linguist who now shelves books in a university library. Bird knows to not ask too many questions, stand out too much, or stray too far. For a decade, their lives have been governed by laws written to preserve “American culture” in the wake of years of economic instability and violence. To keep the peace and restore prosperity, the authorities are now allowed to relocate children of dissidents, especially those of Asian origin, and libraries have been forced to remove books seen as unpatriotic—including the work of Bird’s mother, Margaret, a Chinese American poet who left the family when he was nine years old.

Bird has grown up disavowing his mother and her poems; he doesn’t know her work or what happened to her, and he knows he shouldn’t wonder. But when he receives a mysterious letter containing only a cryptic drawing, he is pulled into a quest to find her. His journey will take him back to the many folktales she poured into his head as a child, through the ranks of an underground network of librarians, into the lives of the children who have been taken, and finally to New York City, where a new act of defiance may be the beginning of much-needed change.",335,,
November,2022,Tiny Beautiful Things,Cheryl Strayed,2012,Self-Help,Yes,"An anniversary edition of the bestselling collection of Dear Sugar advice columns written by the author of #1 New York Times bestseller Wild--featuring a new preface and six additional columns. Soon to be a Hulu Original series.

For more than a decade, thousands of people have sought advice from Dear Sugar--the pseudonym of bestselling author Cheryl Strayed--first through her online column at The Rumpus, later through her hit podcast, Dear Sugars, and now through her popular Substack newsletter. Tiny Beautiful Things collects the best of Dear Sugar in one volume, bringing her wisdom to many more readers. This tenth-anniversary edition features six new columns and a new preface by Strayed. Rich with humor, insight, compassion--and absolute honesty--this book is a balm for everything life throws our way.",400,,
December,2022,The Marriage Portrait,Maggie O'Farrell,2022,Historical Fiction,No,"The author of award-winning Hamnet brings the world of Renaissance Italy to jewel-bright life in this unforgettable fictional portrait of the captivating young duchess Lucrezia de’ Medici as she makes her way in a troubled court.

Florence, the 1550s. Lucrezia, third daughter of the grand duke, is comfortable with her obscure place in the palazzo: free to wonder at its treasures, observe its clandestine workings, and devote herself to her own artistic pursuits. But when her older sister dies on the eve of her wedding to the ruler of Ferrara, Modena and Reggio, Lucrezia is thrust unwittingly into the limelight: the duke is quick to request her hand in marriage, and her father just as quick to accept on her behalf.

Having barely left girlhood behind, Lucrezia must now enter an unfamiliar court whose customs are opaque and where her arrival is not universally welcomed. Perhaps most mystifying of all is her new husband himself, Alfonso. Is he the playful sophisticate he appeared to be before their wedding, the aesthete happiest in the company of artists and musicians, or the ruthless politician before whom even his formidable sisters seem to tremble?

As Lucrezia sits in constricting finery for a painting intended to preserve her image for centuries to come, one thing becomes worryingly clear. In the court’s eyes, she has one duty: to provide the heir who will shore up the future of the Ferranese dynasty. Until then, for all of her rank and nobility, the new duchess’s future hangs entirely in the balance.

Full of the beauty and emotion with which she illuminated the Shakespearean canvas of Hamnet, Maggie O’Farrell turns her talents to Renaissance Italy in an extraordinary portrait of a resilient young woman’s battle for her very survival.",335,,
January,2023,The House in the Pines,Ana Reyes,2023,Thriller,No,"Armed with only hazy memories, a woman who long ago witnessed her friend's sudden, mysterious death, and has since spent her life trying to forget, sets out to track down answers. What she uncovers, deep in the woods, is hardly to be believed....

Maya was a high school senior when her best friend, Aubrey, mysteriously dropped dead in front of the enigmatic man named Frank whom they'd been spending time with all summer.

Seven years later, Maya lives in Boston with a loving boyfriend and is kicking the secret addiction that has allowed her to cope with what happened years ago, the gaps in her memories, and the lost time that she can't account for. But her past comes rushing back when she comes across a recent YouTube video in which a young woman suddenly keels over and dies in a diner while sitting across from none other than Frank. Plunged into the trauma that has defined her life, Maya heads to her Berkshires hometown to relive that fateful summer--the influence Frank once had on her and the obsessive jealousy that nearly destroyed her friendship with Aubrey.

At her mother's house, she excavates fragments of her past and notices hidden messages in her deceased Guatemalan father's book that didn't stand out to her earlier. To save herself, she must understand a story written before she was born, but time keeps running out, and soon, all roads are leading back to Frank's cabin....

Utterly unique and captivating, The House in the Pines keeps you guessing about whether we can ever fully confront the past and return home.",336,,
February,2023,The House of Eve,Sadeqa Johnson,2023,Historical Fiction,No,"From the award-winning author of Yellow Wife, a daring and redemptive novel set in 1950s Philadelphia and Washington, DC, that explores what it means to be a woman and a mother, and how much one is willing to sacrifice to achieve her greatest goal.

1950s Philadelphia: fifteen-year-old Ruby Pearsall is on track to becoming the first in her family to attend college, in spite of having a mother more interested in keeping a man than raising a daughter. But a taboo love affair threatens to pull her back down into the poverty and desperation that has been passed on to her like a birthright.

Eleanor Quarles arrives in Washington, DC, with ambition and secrets. When she meets the handsome William Pride at Howard University, they fall madly in love. But William hails from one of DC’s elite wealthy Black families, and his par­ents don’t let just anyone into their fold. Eleanor hopes that a baby will make her finally feel at home in William’s family and grant her the life she’s been searching for. But having a baby—and fitting in—is easier said than done.

With their stories colliding in the most unexpected of ways, Ruby and Eleanor will both make decisions that shape the trajectory of their lives.",384,,
March,2023,The Nightingale,Kristin Hannah,2015,Historical Fiction,No,"In love we find out who we want to be.
In war we find out who we are.

FRANCE, 1939

In the quiet village of Carriveau, Vianne Mauriac says good-bye to her husband, Antoine, as he heads for the Front. She doesn’t believe that the Nazis will invade France…but invade they do, in droves of marching soldiers, in caravans of trucks and tanks, in planes that fill the skies and drop bombs upon the innocent. When a German captain requisitions Vianne’s home, she and her daughter must live with the enemy or lose everything. Without food or money or hope, as danger escalates all around them, she is forced to make one impossible choice after another to keep her family alive.

Vianne’s sister, Isabelle, is a rebellious eighteen-year-old, searching for purpose with all the reckless passion of youth. While thousands of Parisians march into the unknown terrors of war, she meets Gaëtan, a partisan who believes the French can fight the Nazis from within France, and she falls in love as only the young can…completely. But when he betrays her, Isabelle joins the Resistance and never looks back, risking her life time and again to save others.",440,,
April,2023,Romantic Comedy,Curtis Sittenfeld,2023,Romance,No,"A comedy writer thinks she’s sworn off love, until a dreamily handsome pop star flips the script on all her assumptions. Romantic Comedy is a hilarious, observant and deeply tender novel from New York Times–bestselling author Curtis Sittenfeld.

Sally Milz is a sketch writer for ""The Night Owls,"" the late-night live comedy show that airs each Saturday. With a couple of heartbreaks under her belt, she’s long abandoned the search for love, settling instead for the occasional hook-up, career success, and a close relationship with her stepfather to round out a satisfying life.

But when Sally’s friend and fellow writer Danny Horst begins dating Annabel, a glamorous actor who guest-hosted the show, he joins the not-so-exclusive group of talented but average-looking and even dorky men at the show—and in society at large—who’ve gotten romantically involved with incredibly beautiful and accomplished women. Sally channels her annoyance into a sketch called the ""Danny Horst Rule,"" poking fun at this phenomenon while underscoring how unlikely it is that the reverse would ever happen for a woman.

Enter Noah Brewster, a pop music sensation with a reputation for dating models, who signed on as both host and musical guest for this week’s show. Dazzled by his charms, Sally hits it off with Noah instantly, and as they collaborate on one sketch after another, she begins to wonder whether there might actually be sparks flying. But this isn’t a romantic comedy; it’s real life. And in real life, someone like him would never date someone like her...right?

With her keen observations and trademark ability to bring complex women to life on the page, Sittenfeld explores the neurosis-inducing and heart-fluttering wonder of love, while slyly dissecting the social rituals of romance and gender relations in the modern age.",309,,
May,2023,Did You Hear About Kitty Karr?,Crystal Smith Paul,2023,Historical Fiction,No,"A multigenerational saga that traverses the glamour of old Hollywood and the seductive draw of modern-day showbiz.

When Kitty Karr Tate, a White icon of the silver screen, dies and bequeaths her multimillion-dollar estate to the St. John sisters, three young, wealthy Black women, it prompts questions. Lots of questions.

A celebrity in her own right, Elise St. John would rather focus on sorting out Kitty’s affairs than deal with the press. But what she discovers in one of Kitty’s journals rocks her world harder than any other brewing scandal could—and between a cheating fiancé and the fallout from a controversial social media post, there are plenty.

The truth behind Kitty's ascent to stardom from her beginnings in the segregated South threatens to expose a web of unexpected family ties, debts owed, and debatable crimes that could, with one pull, unravel the all-American fabric of the St. John sisters and those closest to them.

As Elise digs deeper into Kitty's past, she must also turn the lens upon herself, confronting the gifts and burdens of her own choices and the power that the secrets of the dead hold over the living. Did You Hear About Kitty Karr? is a sprawling page-turner set against the backdrop of the Hollywood machine, an insightful and nuanced look at the inheritances of family, race, and gender—and the choices some women make to break free of them.",416,,
June,2023,Cassandra in Reverse,Holly Smale,2023,Magical Realism,No,"A REESE'S BOOK CLUB PICK
“A Time-Twisting Delight” —Reese Witherspoon (Reese’s Book Club June ’23 Pick)

If you had the power to change the past…where would you start?
Cassandra Penelope Dankworth is a creature of habit. She likes what she likes (museums, jumpsuits, her boyfriend, Will) and strongly dislikes what she doesn't (mess, change, her boss drinking out of her mug). Her life runs in a pleasing, predictable order…until now.
• She's just been dumped.
• She's just been fired.
• Her local café has run out of banana muffins.

Then, something truly unexpected happens: Cassie discovers she can go back and change the past. One small rewind at a time, Cassie attempts to fix the life she accidentally obliterated, but soon she'll discover she's trying to fix all the wrong things.

“A great read-alike for The Rosie Project by Graeme Simsion, Oona Out of Order by Margarita Montimore, and The Boys by Katie Hafner.” —Booklist (STARRED)",362,,
July,2023,Yellowface,R.F. Kuang,2023,Thriller,No,"Athena Liu is a literary darling and June Hayward is literally nobody.

White lies
When Athena dies in a freak accident, June steals her unpublished manuscript and publishes it as her own under the ambiguous name Juniper Song.

Dark humour
But as evidence threatens June’s stolen success, she will discover exactly how far she will go to keep what she thinks she deserves.

Deadly consequences…
What happens next is entirely everyone else’s fault.

With its totally immersive first-person voice, Yellowface grapples with questions of diversity, racism, and cultural appropriation, as well as the terrifying alienation of social media. R.F. Kuang’s novel is timely, razor-sharp, and eminently readable.",336,,
August,2023,Tom Lake,Ann Patchett,2023,Literary Fiction,No,"This is a story about Peter Duke who went on to be a famous actor.
This is a story about falling in love with Peter Duke who wasn't famous at all.
It's about falling so wildly in love with him – the way one will at twenty-four – that it felt like jumping off a roof at midnight.
There was no way to foresee the mess it would come to in the end.

It's spring and Lara's three grown daughters have returned to the family orchard. While picking cherries, they beg their mother to tell them the one story they've always longed to hear – of the film star with whom she shared a stage, and a romance, years before.

Tom Lake is a meditation on youthful love, married love, and the lives parents have led before their children were born. Both hopeful and elegiac, it explores what it means to be happy even when the world is falling apart.",309,,
September,2023,Mother-Daughter Murder Night,Nina Simon,2023,Mystery,Planned,"NEW YORK TIMES BESTSELLER - REESE’S BOOK CLUB PICK  Nothing brings a family together like a murder next door. “The perfect mix of family drama and murder mystery” (Kellye Garrett, award-winning author) in this lighthearted whodunnit about a grandmother-mother-daughter trio of amateur sleuths. Gilmore Girls , but with murder. High-powered businesswoman Lana Rubicon has a lot to be proud her keen intelligence, impeccable taste, and the L.A. real estate empire she’s built. But when she finds herself trapped 300 miles north of the city, convalescing in a sleepy   coastal town with her adult daughter Beth and teenage granddaughter Jack, Lana is stuck counting otters instead of square footage—and hoping that boredom won’t kill her before the cancer does.  Then Jack—tiny in stature but fiercely independent—happens upon a dead body while kayaking. She quickly becomes a suspect in the homicide investigation, and the Rubicon women are thrown into chaos. Beth thinks Lana should focus on recovery, but Lana has a better idea. She’ll pull on her wig, find the true murderer, protect her family, and prove she still has power. With Jack and Beth’s help, Lana uncovers a web of lies, family vendettas, and land disputes lurking beneath the surface of a community populated by folksy conservationists and wealthy ranchers. But as their amateur snooping advances into ever-more dangerous territory, the headstrong Rubicon women must learn to do the one thing they’ve always depend on each other.",357,,
October,2023,Starling House,Alix E. Harrow,2023,Fantasy,No,"A grim and gothic new tale from author Alix E. Harrow about a small town haunted by secrets that can't stay buried and the sinister house that sits at the crossroads of it all.

Eden, Kentucky, is just another dying, bad-luck town, known only for the legend of E. Starling, the reclusive nineteenth-century author and illustrator who wrote The Underland--and disappeared. Before she vanished, Starling House appeared. But everyone agrees that it’s best to let the uncanny house―and its last lonely heir, Arthur Starling―go to rot.

Opal knows better than to mess with haunted houses or brooding men, but an unexpected job offer might be a chance to get her brother out of Eden. Too quickly, though, Starling House starts to feel dangerously like something she’s never had: a home.

As sinister forces converge on Starling House, Opal and Arthur are going to have to make a dire choice to dig up the buried secrets of the past and confront their own fears, or let Eden be taken over by literal nightmares.

If Opal wants a home, she’ll have to fight for it.",320,,
November,2023,Maybe Next Time,Cesca Major,2023,Magical Realism,No,"One Day meets Groundhog Day, in this heartwarming and emotionally poignant novel about a stressed woman who must relive the same day over and over, keeping her family and work life from imploding as she attempts to spare her husband from an unfortunate fate.

It is an ordinary Monday and harried London literary agent Emma is flying out of the door as usual. Preoccupied with work and her ever growing to-do list, she fails to notice her lovely husband Dan seems bereft, her son can barely meet her eye, and her daughter won’t go near her. Even the dog seems sad.

She is far too busy, buried deep in her phone; social media alerts pinging; clients messaging with “emergencies”; keeping track of a dozen WhatsApp groups about the kids’ sports, school, playdates, all of it. Her whole day is frantic—what else is new—and as she rushes back through the door for dinner, Dan is still upset. They fight, and he walks out, desolate, dragging their poor dog around the block. Just as she realizes it is their anniversary and she has forgotten, again, she hears the screech of brakes.

Dan is dead.

The next day Emma wakes up… and Dan is alive. And it’s Monday again.

And again.

And again.

Emma tries desperately to change the course of fate by doing different things each time she wakes up: leaving WhatsApp, telling her boss where to get off, writing to Dan, listening to her kids, reaching out to forgotten friends, getting drunk and buying out Prada. But will Emma have the chance to find herself again, remember what she likes about her job, reconnect with her children, love her husband? Will this be enough to change the fate they seem destined for?

A moving “What if” story of what it is to be a woman in the modern world—never feeling we’re getting it quite right—about learning to slow down and appreciate life that is sure to resonate with women’s fiction fans.",384,,
